;ENSBTAT00000001063_98;ENSBTAT00000075784_98;ENSBTAT00000047356_98;ENSBTAT00000081411_98;ENSBTAT00000014936_98;ENSBTAT00000067399_98;ENSBTAT00000067879_98;ENSBTAT00000080112_98;ENSBTAT00000082719_98;ENSBTAT00000019309_98;ENSBTAT00000080865_98;ENSBTAT00000084315_98;ENSBTAT00000021671_98;ENSBTAT00000081480_98;ENSBTAT00000025447_98;ENSBTAT00000032168_98;ENSCAFT00000002680_98;ENSCAFT00000004679_98;ENSCAFT00000006771_98;ENSCAFT00000038895_98;ENSCAFT00000063489_98;ENSCAFT00000013895_98;ENSCAFT00000015908_98;ENSCAFT00000048936_98;ENSCAFT00000063917_98;ENSCAFT00000067748_98;ENSCAFT00000069799_98;ENSCAFT00000074238_98;ENSCAFT00000077614_98;ENSCAFT00000081924_98;ENSCAFT00000017386_98;ENSCAFT00000077728_98;ENSCAFT00000082195_98;ENSCAFT00000030888_98;ENSCAFT00000092108_98;ENSCAFT00020006658_98;ENSCAFT00020020044_98;ENSCAFT00020021017_98;ENSCAFT00020021478_98;ENSCAFT00020025374_98;ENSCAFT00020025671_98;ENSCAFT00020025673_98;ENSCAFT00020040315_98;ENST00000396049_98;ENST00000233892_98;ENST00000323303_98;ENST00000409355_98;ENST00000409360_98;ENST00000409916_98;ENST00000417097_98;ENST00000448447_98;ENST00000262244_98;ENST00000271139_98;ENST00000319928_98;ENST00000371940_98;ENST00000357066_98;ENST00000586676_98;ENST00000588048_98;ENST00000589902_98;ENST00000591236_98;ENST00000591326_98;ENST00000591638_98;ENST00000592280_98;ENST00000309395_98;ENST00000396051_98;ENST00000502869_98;ENST00000329957_98;ENST00000614710_98;ENST00000604458_98;ENSGALT00000086679_98;ENSGALT00000013192_98;ENSGALT00000018879_98;ENSGALT00000045632_98;ENSGALT00000055274_98;ENSGALT00000084848_98;ENSGALT00000073440_98;ENSGALT00000102171_98;ENSGALT00000103370_98;ENSGALT00000072963_98;ENSGALT00000049628_98;ENSMUST00000003438_98;ENSMUST00000218090_98;ENSMUST00000220138_98;ENSMUST00000006424_98;ENSMUST00000113229_98;ENSMUST00000084418_98;ENSMUST00000209725_98;ENSMUST00000209732_98;ENSMUST00000210684_98;ENSMUST00000211000_98;ENSMUST00000211206_98;ENSMUST00000027122_98;ENSMUST00000159311_98;ENSMUST00000161122_98;ENSMUST00000162364_98;ENSMUST00000162553_98;ENSMUST00000030477_98;ENSMUST00000148409_98;ENSMUST00000038658_98;ENSMUST00000055261_98;ENSMUST00000101245_98;ENSMUST00000133045_98;ENSMUST00000155580_98;ENSMUST00000102975_98
ENSCAFT00000069799_98;0.202;0.202;0.192;0.193;0.231;0.383;0.202;0.405;0.354;0.135;0.322;0.322;0.0;0.0;0.0;0.192;0.21;0.242;0.104;0.174;0.085;0.228;0.424;0.396;0.974;0.775;1.0;0.369;0.35;0.328;0.247;0.307;0.324;0.072;0.14;0.237;0.246;0.217;0.193;0.199;0.31;0.246;0.244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.502;0.0;0.0;0.725;0.019;0.0;0.096;0.143;0.154;0.236;0.725;0.0;0.0;0.0;0.281;0.351;0.193;0.124;0.0;0.121;0.587;0.587;0.587;0.243;0.29;0.279;0.214;0.218;0.185;0.0;0.0;0.0;0.0;0.326;0.748;0.66;0.295;0.03;0.03;0.0;0.0;0.0;0.0;0.0;0.191;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSCAFT00000074238_98;0.173;0.173;0.106;0.106;0.382;0.384;0.331;0.34;0.28;0.231;0.177;0.177;0.356;0.386;0.329;0.16;0.292;0.334;0.177;0.272;0.19;0.29;0.574;0.536;0.361;0.278;0.369;1.0;0.488;0.457;0.439;0.538;0.367;0.355;0.425;0.317;0.34;0.29;0.174;0.171;0.347;0.414;0.323;0.37;0.188;0.263;0.178;0.188;0.124;0.258;0.187;0.217;0.0;0.0;0.0;0.124;0.0;0.0;0.0;0.0;0.0;0.0;0.124;0.381;0.36;0.404;0.185;0.227;0.398;0.32;0.319;0.308;0.234;0.234;0.234;0.128;0.198;0.235;0.285;0.264;0.163;0.218;0.185;0.369;0.369;0.373;0.709;0.621;0.348;0.028;0.028;0.27;0.208;0.279;0.282;0.174;0.165;0.197;0.19;0.222;0.222;0.101;0.289;0.217
ENSCAFT00000077614_98;0.181;0.181;0.112;0.112;0.334;0.37;0.286;0.389;0.344;0.236;0.182;0.182;0.0;0.0;0.112;0.166;0.301;0.34;0.232;0.213;0.174;0.309;0.578;0.532;0.345;0.514;0.35;0.488;1.0;0.85;0.324;0.396;0.418;0.159;0.192;0.315;0.34;0.319;0.168;0.182;0.377;0.28;0.338;0.0;0.112;0.104;0.0;0.112;0.158;0.0;0.113;0.0;0.0;0.0;0.0;0.127;0.0;0.0;0.0;0.0;0.0;0.0;0.127;0.0;0.0;0.0;0.193;0.236;0.268;0.224;0.104;0.095;0.243;0.243;0.243;0.145;0.169;0.163;0.311;0.196;0.168;0.228;0.194;0.0;0.0;0.186;0.559;0.508;0.148;0.0;0.0;0.158;0.133;0.041;0.122;0.099;0.164;0.197;0.0;0.0;0.0;0.0;0.0;0.0
ENSCAFT00000081924_98;0.177;0.177;0.147;0.113;0.319;0.359;0.308;0.378;0.361;0.233;0.18;0.18;0.14;0.135;0.211;0.164;0.294;0.369;0.193;0.309;0.272;0.341;0.534;0.495;0.324;0.482;0.328;0.457;0.85;1.0;0.319;0.391;0.411;0.215;0.246;0.381;0.37;0.312;0.194;0.179;0.325;0.353;0.37;0.141;0.219;0.201;0.136;0.219;0.137;0.052;0.219;0.113;0.0;0.0;0.0;0.126;0.0;0.0;0.0;0.0;0.0;0.0;0.126;0.136;0.14;0.0;0.205;0.228;0.333;0.269;0.197;0.166;0.239;0.239;0.239;0.141;0.17;0.159;0.305;0.204;0.165;0.223;0.19;0.14;0.14;0.185;0.554;0.505;0.146;0.0;0.0;0.117;0.222;0.048;0.204;0.21;0.163;0.194;0.0;0.111;0.111;0.0;0.059;0.113
ENSCAFT00000017386_98;0.909;0.909;0.886;0.886;0.559;0.762;0.548;0.766;0.767;0.857;0.879;0.879;0.541;0.541;0.699;0.909;0.941;0.99;0.822;0.908;0.859;0.941;0.51;0.401;0.247;0.242;0.247;0.439;0.324;0.319;1.0;0.879;0.839;0.868;0.923;0.936;0.991;0.954;0.945;0.909;0.867;0.929;0.955;0.542;0.679;0.703;0.088;0.679;0.561;0.068;0.637;0.584;0.554;0.0;0.0;0.633;0.441;0.136;0.519;0.519;0.519;0.56;0.633;0.541;0.541;0.105;0.906;0.924;0.957;0.938;0.7;0.899;0.819;0.819;0.819;0.875;0.873;0.819;0.943;0.938;0.91;0.412;0.392;0.541;0.541;0.0;0.53;0.525;0.0;0.0;0.0;0.623;0.636;0.068;0.702;0.643;0.909;0.396;0.476;0.608;0.608;0.0;0.197;0.585
ENSCAFT00000077728_98;0.769;0.769;0.739;0.739;0.439;0.673;0.436;0.676;0.67;0.831;0.853;0.853;0.513;0.513;0.477;0.769;0.809;0.863;0.697;0.787;0.735;0.819;0.452;0.367;0.306;0.3;0.307;0.538;0.396;0.391;0.879;1.0;0.847;0.748;0.804;0.811;0.864;0.821;0.8;0.768;0.777;0.816;0.831;0.514;0.457;0.48;0.128;0.457;0.335;0.096;0.415;0.234;0.559;0.0;0.0;0.646;0.45;0.14;0.53;0.53;0.53;0.573;0.646;0.514;0.514;0.113;0.794;0.795;0.839;0.801;0.478;0.767;0.855;0.855;0.855;0.724;0.833;0.775;0.811;0.83;0.77;0.271;0.252;0.513;0.513;0.0;0.533;0.528;0.0;0.0;0.0;0.398;0.414;0.095;0.479;0.42;0.768;0.256;0.195;0.331;0.331;0.0;0.337;0.234
ENSCAFT00000082195_98;0.868;0.868;0.824;0.824;0.517;0.74;0.514;0.744;0.736;0.918;0.942;0.942;0.0;0.0;0.417;0.867;0.908;0.923;0.811;0.796;0.745;0.917;0.609;0.386;0.324;0.317;0.324;0.367;0.418;0.411;0.839;0.847;1.0;0.71;0.766;0.879;0.924;0.922;0.863;0.867;0.895;0.797;0.924;0.0;0.432;0.42;0.0;0.432;0.526;0.0;0.455;0.146;0.562;0.0;0.0;0.655;0.455;0.142;0.537;0.537;0.537;0.581;0.655;0.0;0.0;0.0;0.897;0.899;0.801;0.808;0.417;0.706;0.876;0.876;0.876;0.847;0.862;0.91;0.908;0.865;0.868;0.347;0.327;0.0;0.0;0.0;0.534;0.528;0.0;0.0;0.0;0.476;0.454;0.0;0.418;0.395;0.867;0.332;0.31;0.246;0.246;0.0;0.0;0.146
ENSCAFT00000030888_98;0.792;0.792;0.824;0.82;0.414;0.657;0.518;0.618;0.722;0.75;0.766;0.766;0.613;0.651;0.772;0.788;0.828;0.944;0.766;0.779;0.869;0.833;0.241;0.297;0.072;0.091;0.072;0.355;0.159;0.215;0.868;0.748;0.71;1.0;0.901;0.874;0.945;0.805;0.969;0.8;0.738;0.881;0.887;0.646;0.669;0.748;0.131;0.669;0.436;0.123;0.672;0.676;0.453;0.017;0.017;0.576;0.425;0.143;0.522;0.522;0.522;0.556;0.576;0.65;0.624;0.234;0.855;0.724;0.927;0.984;0.788;0.976;0.714;0.714;0.714;0.774;0.654;0.681;0.782;0.948;0.806;0.386;0.367;0.644;0.644;0.211;0.0;0.018;0.26;0.043;0.043;0.601;0.674;0.146;0.747;0.625;0.839;0.379;0.448;0.697;0.697;0.033;0.129;0.677
ENSCAFT00000092108_98;0.778;0.778;0.804;0.8;0.445;0.719;0.546;0.679;0.783;0.737;0.752;0.752;0.607;0.643;0.758;0.774;0.855;0.972;0.686;0.876;0.781;0.871;0.311;0.367;0.14;0.126;0.14;0.425;0.192;0.246;0.923;0.804;0.766;0.901;1.0;0.923;0.999;0.845;0.933;0.785;0.828;0.97;0.938;0.639;0.658;0.736;0.129;0.658;0.428;0.121;0.661;0.667;0.541;0.072;0.072;0.586;0.413;0.139;0.506;0.506;0.506;0.539;0.586;0.643;0.617;0.231;0.846;0.718;0.972;0.99;0.772;0.95;0.711;0.711;0.711;0.755;0.636;0.663;0.81;0.915;0.79;0.379;0.36;0.637;0.637;0.278;0.331;0.441;0.181;0.121;0.121;0.589;0.662;0.143;0.734;0.614;0.819;0.37;0.442;0.687;0.687;0.032;0.127;0.668
ENSCAFT00020006658_98;0.911;0.911;0.923;0.923;0.549;0.76;0.571;0.764;0.805;0.857;0.879;0.879;0.539;0.539;0.699;0.91;0.944;0.996;0.827;0.94;0.898;0.968;0.489;0.45;0.237;0.233;0.237;0.317;0.315;0.381;0.936;0.811;0.879;0.874;0.923;1.0;0.998;0.956;0.95;0.911;0.857;0.927;0.978;0.54;0.709;0.703;0.065;0.709;0.583;0.0;0.712;0.584;0.554;0.0;0.0;0.633;0.441;0.136;0.519;0.519;0.519;0.56;0.633;0.539;0.539;0.0;0.932;0.883;0.957;0.954;0.7;0.903;0.818;0.818;0.818;0.912;0.81;0.789;0.943;0.938;0.911;0.42;0.401;0.539;0.539;0.0;0.53;0.525;0.0;0.0;0.0;0.593;0.711;0.0;0.702;0.675;0.912;0.411;0.447;0.608;0.608;0.0;0.055;0.585
ENSCAFT00020020044_98;0.955;0.955;0.952;0.945;0.603;0.964;0.585;0.964;0.968;0.9;0.92;0.92;0.507;0.507;0.697;0.953;0.987;1.0;0.929;0.994;0.946;0.999;0.569;0.417;0.246;0.246;0.246;0.34;0.34;0.37;0.991;0.864;0.924;0.945;0.999;0.998;1.0;0.992;0.962;0.954;0.952;0.994;0.999;0.508;0.698;0.698;0.009;0.698;0.657;0.009;0.698;0.561;0.571;0.0;0.0;0.646;0.451;0.155;0.556;0.556;0.556;0.595;0.646;0.508;0.508;0.0;0.96;0.959;0.998;1.0;0.699;0.953;0.849;0.849;0.849;0.957;0.899;0.899;0.988;0.96;0.954;0.419;0.395;0.507;0.507;0.0;0.526;0.526;0.0;0.0;0.0;0.657;0.698;0.009;0.698;0.657;0.954;0.401;0.529;0.588;0.588;0.0;0.0;0.562
ENSCAFT00020021017_98;0.96;0.96;0.922;0.916;0.613;0.932;0.568;0.935;0.914;0.902;0.923;0.923;0.0;0.0;0.648;0.958;1.0;0.992;0.916;0.906;0.873;0.992;0.548;0.436;0.217;0.217;0.217;0.29;0.319;0.312;0.954;0.821;0.922;0.805;0.845;0.956;0.992;1.0;0.959;0.969;0.956;0.93;0.992;0.0;0.664;0.654;0.0;0.664;0.698;0.0;0.664;0.55;0.571;0.0;0.0;0.646;0.451;0.155;0.556;0.556;0.556;0.595;0.646;0.0;0.0;0.0;0.921;0.967;0.891;0.912;0.649;0.81;0.849;0.849;0.849;0.932;0.849;0.839;1.0;0.95;0.966;0.456;0.433;0.0;0.0;0.0;0.519;0.519;0.0;0.0;0.0;0.667;0.66;0.0;0.651;0.63;0.962;0.42;0.581;0.569;0.569;0.0;0.0;0.55
ENSCAFT00020021478_98;0.99;0.99;0.974;0.957;0.51;0.647;0.502;0.647;0.659;0.888;0.927;0.927;0.508;0.508;0.707;0.99;0.959;0.962;0.947;0.917;0.964;0.957;0.367;0.258;0.192;0.19;0.193;0.174;0.168;0.194;0.945;0.8;0.863;0.969;0.933;0.95;0.962;0.959;1.0;0.99;0.876;0.911;0.957;0.508;0.708;0.708;0.04;0.708;0.667;0.028;0.708;0.566;0.541;0.0;0.0;0.621;0.361;0.127;0.497;0.567;0.567;0.653;0.621;0.508;0.508;0.0;0.916;0.911;0.95;0.968;0.709;0.98;0.772;0.772;0.772;0.922;0.854;0.854;0.959;0.984;0.99;0.408;0.387;0.508;0.508;0.0;0.0;0.0;0.0;0.0;0.0;0.667;0.707;0.028;0.707;0.668;0.99;0.396;0.537;0.592;0.592;0.0;0.015;0.567
ENSCAFT00020025374_98;0.992;0.992;0.948;0.94;0.521;0.627;0.477;0.631;0.637;0.897;0.944;0.944;0.0;0.0;0.643;0.988;0.969;0.954;0.9;0.836;0.865;0.954;0.385;0.303;0.199;0.196;0.199;0.171;0.182;0.179;0.909;0.768;0.867;0.8;0.785;0.911;0.954;0.969;0.99;1.0;0.873;0.863;0.954;0.0;0.658;0.648;0.0;0.658;0.698;0.0;0.659;0.547;0.55;0.0;0.0;0.647;0.361;0.127;0.496;0.566;0.566;0.652;0.647;0.0;0.0;0.0;0.869;0.917;0.854;0.888;0.644;0.805;0.823;0.823;0.823;0.92;0.832;0.825;0.969;0.97;0.998;0.431;0.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.661;0.655;0.0;0.645;0.625;0.994;0.398;0.577;0.564;0.564;0.0;0.0;0.547
ENSCAFT00020025671_98;0.877;0.877;0.847;0.853;0.58;0.963;0.587;0.982;0.974;0.858;0.878;0.878;0.0;0.0;0.444;0.881;0.913;0.923;0.844;0.843;0.741;0.896;0.6;0.407;0.31;0.28;0.31;0.347;0.377;0.325;0.867;0.777;0.895;0.738;0.828;0.857;0.952;0.956;0.876;0.873;1.0;0.82;0.942;0.0;0.463;0.45;0.0;0.463;0.606;0.0;0.477;0.242;0.585;0.082;0.082;0.635;0.434;0.149;0.535;0.535;0.535;0.572;0.635;0.0;0.0;0.0;0.902;0.915;0.806;0.853;0.442;0.726;0.812;0.812;0.812;0.865;0.825;0.863;0.91;0.849;0.873;0.369;0.352;0.0;0.0;0.168;0.459;0.57;0.083;0.11;0.11;0.557;0.474;0.029;0.448;0.418;0.877;0.36;0.416;0.294;0.294;0.0;0.0;0.243
ENSCAFT00020025673_98;0.863;0.863;0.853;0.847;0.564;0.919;0.552;0.9;0.909;0.815;0.834;0.834;0.542;0.56;0.713;0.861;0.893;0.966;0.748;0.963;0.861;0.899;0.48;0.377;0.246;0.222;0.246;0.414;0.28;0.353;0.929;0.816;0.797;0.881;0.97;0.927;0.994;0.93;0.911;0.863;0.82;1.0;0.953;0.56;0.681;0.707;0.115;0.681;0.497;0.058;0.655;0.605;0.575;0.08;0.08;0.619;0.424;0.145;0.522;0.522;0.522;0.557;0.619;0.56;0.542;0.102;0.865;0.863;0.978;0.977;0.716;0.889;0.772;0.772;0.772;0.822;0.808;0.771;0.889;0.91;0.863;0.383;0.366;0.559;0.559;0.206;0.427;0.529;0.123;0.102;0.102;0.535;0.643;0.075;0.691;0.635;0.863;0.37;0.42;0.626;0.626;0.0;0.148;0.606
ENSCAFT00020040315_98;0.955;0.955;0.953;0.946;0.603;0.958;0.585;0.964;0.968;0.9;0.92;0.92;0.507;0.507;0.675;0.953;0.987;0.999;0.917;0.962;0.915;0.999;0.566;0.414;0.244;0.244;0.244;0.323;0.338;0.37;0.955;0.831;0.924;0.887;0.938;0.978;0.999;0.992;0.957;0.954;0.942;0.953;1.0;0.507;0.679;0.678;0.009;0.679;0.649;0.009;0.685;0.555;0.571;0.0;0.0;0.646;0.451;0.155;0.556;0.556;0.556;0.595;0.646;0.507;0.507;0.0;0.96;0.959;0.945;0.954;0.677;0.892;0.849;0.849;0.849;0.957;0.88;0.894;0.988;0.955;0.954;0.419;0.395;0.507;0.507;0.0;0.526;0.526;0.0;0.0;0.0;0.639;0.682;0.009;0.675;0.641;0.954;0.401;0.516;0.579;0.579;0.0;0.0;0.556
ENST00000396049_98;0.0;0.0;0.406;0.411;0.0;0.192;0.312;0.06;0.291;0.0;0.0;0.0;0.992;0.989;0.737;0.0;0.0;0.508;0.102;0.589;0.595;0.507;0.0;0.165;0.0;0.0;0.0;0.37;0.0;0.141;0.542;0.514;0.0;0.646;0.639;0.54;0.508;0.0;0.508;0.0;0.0;0.56;0.507;1.0;0.528;0.684;0.36;0.528;0.071;0.297;0.561;0.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.978;0.998;0.507;0.546;0.0;0.608;0.573;0.742;0.656;0.0;0.0;0.0;0.263;0.196;0.099;0.0;0.521;0.0;0.0;0.0;1.0;1.0;0.507;0.0;0.0;0.513;0.0;0.0;0.26;0.513;0.198;0.645;0.586;0.501;0.502;0.318;0.754;0.754;0.171;0.259;0.77
ENST00000233892_98;0.651;0.651;0.663;0.669;0.459;0.32;0.646;0.317;0.541;0.616;0.607;0.607;0.524;0.522;0.893;0.647;0.664;0.698;0.483;0.752;0.773;0.677;0.281;0.38;0.0;0.0;0.0;0.188;0.112;0.219;0.679;0.457;0.432;0.669;0.658;0.709;0.698;0.664;0.708;0.658;0.463;0.681;0.679;0.528;1.0;0.881;0.152;1.0;0.65;0.062;0.885;0.741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.523;0.524;0.006;0.675;0.432;0.686;0.704;0.895;0.687;0.543;0.543;0.543;0.648;0.472;0.386;0.664;0.66;0.659;0.772;0.778;0.525;0.525;0.0;0.0;0.0;0.0;0.0;0.0;0.659;0.913;0.064;0.909;0.974;0.668;0.812;0.433;0.76;0.76;0.0;0.168;0.741
ENST00000323303_98;0.641;0.641;0.65;0.655;0.426;0.321;0.601;0.335;0.505;0.609;0.6;0.6;0.678;0.677;0.972;0.638;0.657;0.698;0.473;0.738;0.756;0.666;0.258;0.348;0.0;0.0;0.0;0.263;0.104;0.201;0.703;0.48;0.42;0.748;0.736;0.703;0.698;0.654;0.708;0.648;0.45;0.707;0.678;0.684;0.881;1.0;0.216;0.881;0.573;0.181;0.913;0.772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.678;0.68;0.162;0.665;0.425;0.75;0.728;0.968;0.76;0.541;0.541;0.541;0.62;0.452;0.41;0.655;0.69;0.648;0.744;0.748;0.68;0.68;0.5;0.0;0.0;0.5;0.0;0.0;0.682;0.836;0.11;0.922;0.885;0.662;0.791;0.486;0.803;0.803;0.014;0.189;0.771
ENST00000409355_98;0.0;0.0;0.037;0.013;0.0;0.0;0.033;0.043;0.029;0.0;0.0;0.0;0.358;0.357;0.176;0.0;0.0;0.009;0.0;0.137;0.141;0.009;0.0;0.005;0.0;0.0;0.0;0.178;0.0;0.136;0.088;0.128;0.0;0.131;0.129;0.065;0.009;0.0;0.04;0.0;0.0;0.115;0.009;0.36;0.152;0.216;1.0;0.152;0.0;0.308;0.236;0.176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.358;0.36;0.177;0.022;0.0;0.124;0.074;0.17;0.162;0.0;0.0;0.0;0.0;0.098;0.041;0.0;0.052;0.0;0.0;0.0;0.36;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.158;0.083;0.145;0.161;0.0;0.0;0.018;0.184;0.184;0.058;0.383;0.176
ENST00000409360_98;0.651;0.651;0.663;0.669;0.459;0.32;0.646;0.317;0.541;0.616;0.607;0.607;0.524;0.522;0.893;0.647;0.664;0.698;0.483;0.752;0.773;0.677;0.281;0.38;0.0;0.0;0.0;0.188;0.112;0.219;0.679;0.457;0.432;0.669;0.658;0.709;0.698;0.664;0.708;0.658;0.463;0.681;0.679;0.528;1.0;0.881;0.152;1.0;0.65;0.062;0.885;0.741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.523;0.524;0.006;0.675;0.432;0.686;0.704;0.895;0.687;0.543;0.543;0.543;0.648;0.472;0.386;0.664;0.66;0.659;0.772;0.778;0.525;0.525;0.0;0.0;0.0;0.0;0.0;0.0;0.659;0.913;0.064;0.909;0.974;0.668;0.812;0.433;0.76;0.76;0.0;0.168;0.741
ENST00000409916_98;0.693;0.693;0.663;0.66;0.549;0.372;0.552;0.367;0.451;0.649;0.634;0.634;0.071;0.071;0.581;0.689;0.698;0.657;0.7;0.48;0.494;0.649;0.412;0.394;0.0;0.0;0.0;0.124;0.158;0.137;0.561;0.335;0.526;0.436;0.428;0.583;0.657;0.698;0.667;0.698;0.606;0.497;0.649;0.071;0.65;0.573;0.0;0.65;1.0;0.0;0.627;0.397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;0.071;0.0;0.58;0.521;0.45;0.543;0.583;0.428;0.552;0.552;0.552;0.686;0.441;0.456;0.699;0.619;0.699;0.916;0.93;0.071;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.768;0.649;0.0;0.591;0.625;0.702;0.95;0.63;0.42;0.42;0.0;0.0;0.397
ENST00000417097_98;0.0;0.0;0.039;0.0;0.0;0.024;0.025;0.042;0.022;0.0;0.0;0.0;0.295;0.294;0.141;0.0;0.0;0.009;0.0;0.028;0.028;0.009;0.0;0.0;0.0;0.0;0.0;0.258;0.0;0.052;0.068;0.096;0.0;0.123;0.121;0.0;0.009;0.0;0.028;0.0;0.0;0.058;0.009;0.297;0.062;0.181;0.308;0.062;0.0;1.0;0.094;0.134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.295;0.297;0.447;0.014;0.0;0.101;0.055;0.136;0.13;0.0;0.0;0.0;0.0;0.0;0.047;0.0;0.041;0.0;0.0;0.0;0.297;0.297;0.5;0.0;0.0;0.501;0.0;0.0;0.107;0.023;0.699;0.11;0.066;0.0;0.0;0.127;0.144;0.144;0.075;0.262;0.134
ENST00000448447_98;0.651;0.651;0.665;0.671;0.444;0.308;0.625;0.345;0.52;0.616;0.607;0.607;0.557;0.556;0.883;0.647;0.668;0.698;0.485;0.746;0.766;0.679;0.281;0.38;0.0;0.0;0.0;0.187;0.113;0.219;0.637;0.415;0.455;0.672;0.661;0.712;0.698;0.664;0.708;0.659;0.477;0.655;0.685;0.561;0.885;0.913;0.236;0.885;0.627;0.094;1.0;0.679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.557;0.558;0.095;0.674;0.432;0.67;0.679;0.879;0.682;0.543;0.543;0.543;0.631;0.461;0.417;0.665;0.67;0.659;0.772;0.778;0.559;0.559;0.0;0.0;0.0;0.0;0.0;0.0;0.597;0.914;0.023;0.836;0.888;0.669;0.817;0.431;0.712;0.712;0.015;0.114;0.679
ENST00000262244_98;0.543;0.543;0.556;0.561;0.23;0.265;0.436;0.152;0.391;0.512;0.511;0.511;0.758;0.758;0.838;0.542;0.551;0.561;0.323;0.642;0.653;0.551;0.094;0.268;0.0;0.0;0.0;0.217;0.0;0.113;0.584;0.234;0.146;0.676;0.667;0.584;0.561;0.55;0.566;0.547;0.242;0.605;0.555;0.77;0.741;0.772;0.176;0.741;0.397;0.134;0.679;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.758;0.756;0.251;0.565;0.231;0.643;0.621;0.838;0.692;0.0;0.0;0.0;0.526;0.301;0.214;0.549;0.56;0.547;0.576;0.578;0.76;0.76;0.506;0.0;0.0;0.511;0.0;0.0;0.515;0.682;0.135;0.775;0.753;0.552;0.595;0.583;0.948;0.948;0.091;0.213;1.0
ENST00000271139_98;0.547;0.547;0.553;0.552;0.123;0.6;0.12;0.603;0.597;0.538;0.534;0.534;0.0;0.0;0.0;0.541;0.562;0.565;0.422;0.557;0.416;0.562;0.0;0.0;0.502;0.502;0.502;0.0;0.0;0.0;0.554;0.559;0.562;0.453;0.541;0.554;0.571;0.571;0.541;0.55;0.585;0.575;0.571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.712;0.712;0.535;0.564;0.085;0.559;0.557;0.557;0.554;0.535;0.0;0.0;0.0;0.546;0.551;0.553;0.568;0.0;0.541;0.535;0.535;0.535;0.542;0.546;0.545;0.566;0.558;0.544;0.0;0.0;0.0;0.0;0.751;0.02;0.725;0.149;0.871;0.871;0.0;0.0;0.0;0.0;0.0;0.541;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000319928_98;0.0;0.0;0.0;0.0;0.1;0.328;0.098;0.329;0.326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.112;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017;0.072;0.0;0.0;0.0;0.0;0.0;0.082;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.712;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.676;0.0;0.646;0.047;0.822;0.822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000371940_98;0.0;0.0;0.0;0.0;0.1;0.328;0.098;0.329;0.326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.112;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017;0.072;0.0;0.0;0.0;0.0;0.0;0.082;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.712;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.676;0.0;0.646;0.047;0.822;0.822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
